season,sleeper_id,player_name,position,team,total_pts,pos_rank
2025,11798,Zion Logue,DL,BUF,7.25,86
2025,8372,DeAngelo Malone,DL,ATL,7.15,87
2025,13174,Cooper McDonald,LB,KC,7.0,182
2025,11651,Isaac Guerendo,RB,SF,7.0,125
2025,4110,Zach Cunningham,LB,,7.0,182
2025,12672,Jeffrey Bassa,LB,KC,7.0,182
2025,6386,Alex Bachman,WR,,6.96,204
2025,7809,Avery Williams,RB,,6.96,126
2025,11082,Ben Sims,TE,MIA,6.7,98
2025,12787,Josh Williams,RB,TB,6.66,127
2025,5008,Durham Smythe,TE,BAL,6.6,99
2025,12785,Dom Jones,DB,,6.5,219
2025,7653,Azeez Ojulari,LB,ATL,6.5,185
2025,8170,James Mitchell,TE,CAR,6.5,100
2025,8264,Chase Lucas,DB,TB,6.5,219
2025,11841,Sanoussi Kane,DB,TEN,6.5,219
2025,12919,Elijah Simmons,DL,TB,6.5,88
2025,5113,Cedrick Wilson,WR,DET,6.4,205
2025,5519,Tavierre Thomas,DB,MIN,6.0,222
2025,12282,C.J. Ravenell,DL,NYG,6.0,89
2025,2350,Eric Kendricks,LB,,6.0,186
2025,5520,Jonathan Owens,DB,IND,6.0,222
2025,12011,Demani Richardson,DB,CAR,6.0,222
2025,6296,Quinton Bell,LB,,6.0,186
2025,11011,JL Skinner,DB,DEN,6.0,222
2025,12829,Coleman Owen,WR,IND,5.72,206
2025,7436,Mason Kinsey,WR,TEN,5.64,207
2025,10924,Zacch Pickens,DL,NYG,5.5,90
2025,10966,Robert Beal,LB,MIA,5.5,188
2025,11717,Elijah Jones,DB,ARI,5.5,226
2025,13196,Elijah Williams,DL,MIN,5.5,90
2025,11429,Kaevon Merriweather,DB,HOU,5.5,226
2025,8726,Brenden Schooler,DB,NE,5.5,226
2025,6659,Craig Reynolds,RB,,5.42,128
2025,12520,Xavier Restrepo,WR,TEN,5.3,208
2025,8041,Shane Zylstra,TE,BUF,5.2,101
2025,12538,Brady Cook,QB,NYJ,5.15,56
2025,11716,Tip Reiman,TE,ARI,5.0,102
2024,4881,Lamar Jackson,QB,BAL,459.4,1
2024,4866,Saquon Barkley,RB,PHI,429.0,1
2024,3198,Derrick Henry,RB,BAL,401.5,2
2024,4984,Josh Allen,QB,BUF,396.85,2
2024,9221,Jahmyr Gibbs,RB,DET,383.7,3
2024,DEN,Denver Broncos,DEF,DEN,379.08,1
2024,6770,Joe Burrow,QB,CIN,378.8,3
2024,7564,Ja'Marr Chase,WR,CIN,375.1,1
2024,4892,Baker Mayfield,QB,TB,367.7,4
2024,PHI,Philadelphia Eagles,DEF,PHI,359.18,2
2024,9509,Bijan Robinson,RB,ATL,358.5,4
2024,MIN,Minnesota Vikings,DEF,MIN,358.5,3
2024,3163,Jared Goff,QB,DET,347.35,5
2024,11566,Jayden Daniels,QB,WAS,347.0,6
2024,GB,Green Bay Packers,DEF,GB,343.98,4
2024,PIT,Pittsburgh Steelers,DEF,PIT,343.06,5
2024,HOU,Houston Texans,DEF,HOU,341.28,6
2024,BUF,Buffalo Bills,DEF,BUF,328.76,7
2024,SEA,Seattle Seahawks,DEF,SEA,318.24,8
2024,5850,Josh Jacobs,RB,GB,315.6,5
2024,11563,Bo Nix,QB,DEN,313.35,7
2024,6904,Jalen Hurts,QB,PHI,312.05,8
2024,6813,Jonathan Taylor,RB,IND,306.7,6
2024,LAC,Los Angeles Chargers,DEF,LAC,301.56,9
2024,8150,Kyren Williams,RB,LAR,301.28,7
2024,BAL,Baltimore Ravens,DEF,BAL,301.16,10
2024,DET,Detroit Lions,DEF,DET,301.0,11
2024,11604,Brock Bowers,TE,LV,297.0,1
2024,DAL,Dallas Cowboys,DEF,DAL,294.66,12
2024,4943,Sam Darnold,QB,SEA,293.05,9
2024,5849,Kyler Murray,QB,MIN,292.25,10
2024,8138,James Cook,RB,BUF,292.2,8
2024,CIN,Cincinnati Bengals,DEF,CIN,290.74,13
2024,KC,Kansas City Chiefs,DEF,KC,288.88,14
2024,9226,De'Von Achane,RB,MIA,288.18,9
2024,CHI,Chicago Bears,DEF,CHI,287.88,15
