"id","first_name","last_name","team","position","pos","points","floor","ceiling","sd_pts","player_name"
"15754","Chris","Olave","NOS","WR","WR",226.386955190727,196.488605372629,250.232544023119,14.9599420261515,"Chris Olave"
"15290","Nico","Collins","HOU","WR","WR",224.50504701342,208.012222847727,242.198139971395,18.2102686325761,"Nico Collins"
"16615","Malik","Nabers","NYG","WR","WR",212.983354556521,191.326448503498,231.006286603936,17.3393957431534,"Malik Nabers"
"16190","Zay","Flowers","BAL","WR","WR",212.122128380547,194.030041101685,232.392990984326,28.6754543162881,"Zay Flowers"
"17071","Tetairoa","McMillan","CAR","WR","WR",209.234516625488,195.337152922076,228.895970725705,15.2178390121786,"Tetairoa McMillan"
"15282","DeVonta","Smith","PHI","WR","WR",207.827737732707,192.08241017267,217.499945720315,6.1505811177157,"DeVonta Smith"
"17081","Emeka","Egbuka","TBB","WR","WR",206.982818187987,187.940709131295,227.482281819454,11.5697138168715,"Emeka Egbuka"
"15753","Garrett","Wilson","NYJ","WR","WR",204.975428451995,187.646005902885,216.944826523117,6.14417530317823,"Garrett Wilson"
"15756","Jameson","Williams","DET","WR","WR",204.358831307599,196.308504681311,222.211358107169,11.7880836622968,"Jameson Williams"
"14835","Tee","Higgins","CIN","WR","WR",200.626709755873,183.560741147008,219.169832503719,13.5334519857232,"Tee Higgins"
"11675","Davante","Adams","LAR","WR","WR",195.201769373328,189.802191346245,210.932401054365,2.41320956045842,"Davante Adams"
"16627","Ladd","McConkey","LAC","WR","WR",194.378046145815,181.782959457323,213.29252021385,16.9621190963005,"Ladd McConkey"
"14109","Terry","McLaurin","WAS","WR","WR",192.807023854436,177.07335864422,204.168396269883,6.81766207608461,"Terry McLaurin"
"16616","Rome","Odunze","CHI","WR","WR",187.458890925054,176.039348768953,210.411566711693,11.9612176140658,"Rome Odunze"
"15284","Jaylen","Waddle","DEN","WR","WR",186.32693233882,175.160504514665,197.065845623331,6.27131847800125,"Jaylen Waddle"
"17070","Luther","Burden","CHI","WR","WR",186.16024670361,152.755753437383,228.807079195532,25.6686831628802,"Luther Burden"
"13635","D.J.","Moore","BUF","WR","WR",183.554212746174,173.007716551819,225.304391485402,3.28301360285534,"D.J. Moore"
"11671","Mike","Evans","SFO","WR","WR",182.989850407812,167.88713049942,196.365923107166,19.5046279191434,"Mike Evans"
"15768","Alec","Pierce","IND","WR","WR",181.551709755873,163.449522643803,200.293247282814,17.2829355774814,"Alec Pierce"
"15789","Christian","Watson","GBP","WR","WR",181.313381986661,170.247278551204,187.037329551131,6.07022208085656,"Christian Watson"
"13630","Courtland","Sutton","DEN","WR","WR",179.054480930441,169.75695182669,205.489588166435,5.16512859691632,"Courtland Sutton"
"14102","DK","Metcalf","PIT","WR","WR",175.715491059751,161.565054368463,194.449027988632,3.891825,"DK Metcalf"
"16618","Brian","Thomas Jr.","JAC","WR","WR",174.23399690657,151.617156754793,198.037794378718,22.9641997322185,"Brian Thomas Jr."
"16192","Parker","Washington","JAC","WR","WR",173.325573849654,153.999731248327,190.76617790955,20.3698902140162,"Parker Washington"
"16614","Marvin","Harrison Jr.","ARI","WR","WR",171.849140187356,152.171346969952,194.355440375486,24.0004489417257,"Marvin Harrison Jr."
"13163","Chris","Godwin","TBB","WR","WR",166.392144831302,140.430915221027,196.812114824761,24.4177063020111,"Chris Godwin"
"16206","Michael","Wilson","ARI","WR","WR",163.884606551514,148.396954130871,206.372305866373,21.8364095957169,"Michael Wilson"
"17497","Carnell","Tate","TEN","WR","WR",160.381292178569,135.765845110006,187.951672004437,26.0164344351708,"Carnell Tate"
"14842","Michael","Pittman","PIT","WR","WR",153.114835550589,127.945943106127,162.569898101777,6.00152589772821,"Michael Pittman"
"14127","Jakobi","Meyers","JAC","WR","WR",150.875339120094,138.183753540184,170.69962991751,4.11050406657983,"Jakobi Meyers"
"16186","Jordan","Addison","MIN","WR","WR",150.530687759641,131.87973648504,182.044075682596,15.5210902497083,"Jordan Addison"
"16184","Jayden","Reed","GBP","WR","WR",149.324117433671,111.775541275695,180.048491657811,19.5321505588579,"Jayden Reed"
"15757","Wan'Dale","Robinson","TEN","WR","WR",147.597493470848,132.088305055836,203.599993414279,13.3415887277095,"Wan'Dale Robinson"
"16620","Xavier","Worthy","KCC","WR","WR",147.105821851774,116.308264636047,158.428372498327,12.7547777645686,"Xavier Worthy"
"16188","Quentin","Johnston","LAC","WR","WR",146.454063796818,120.379782784973,166.239838522034,27.9626930083055,"Quentin Johnston"
"12801","Tyreek","Hill","FA","WR","WR",145.85677535393,145.85677535393,145.85677535393,NA,"Tyreek Hill"
"16187","Josh","Downs","IND","WR","WR",145.703583521215,130.217526269877,162.083843610164,23.6205658025947,"Josh Downs"
"12186","Stefon","Diggs","WAS","WR","WR",144.347542533774,134.468520700553,156.579677611474,5.28289548741644,"Stefon Diggs"
"14136","Deebo","Samuel","SFO","WR","WR",143.803378478929,119.14074381527,163.701054265568,14.0384902497082,"Deebo Samuel"
"15779","Romeo","Doubs","NEP","WR","WR",141.942949384102,118.305125665135,163.792633505871,19.3129854934451,"Romeo Doubs"
"17075","Matthew","Golden","GBP","WR","WR",136.770318282269,122.146338822102,157.491602519879,11.3672037574302,"Matthew Golden"
"14833","Jerry","Jeudy","CLE","WR","WR",132.934010159965,115.028078523828,153.102992390165,17.1002329785848,"Jerry Jeudy"
"15761","Khalil","Shakir","BUF","WR","WR",132.111036399188,119.26186186965,140.396447589921,6.45955919143392,"Khalil Shakir"
"17499","Makai","Lemon","PHI","WR","WR",130.700124060196,123.297738220056,159.817538155655,6.27052325801367,"Makai Lemon"
"16080","Rashid","Shaheed","SEA","WR","WR",128.198368678663,89.7085452015172,170.781662099622,45.511225457753,"Rashid Shaheed"
"17501","KC","Concepcion","CLE","WR","WR",126.521405876559,76.0594741364832,148.176072131948,20.7067885374426,"KC Concepcion"
"16809","Jalen","Coker","CAR","WR","WR",126.424787894338,109.169924742929,144.528533408887,18.5507895005836,"Jalen Coker"
